Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-12-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-21,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-29,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-30,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2020-12-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-06,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-13,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-20,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-21,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-01-29,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-02-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-30,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-03-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-06,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-13,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-15,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-16,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-20,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-22,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-23,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-29,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-04-30,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-05,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-06,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-11,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-12,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-14,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-17,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-19,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-20,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-21,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-25,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-26,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-27,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-28,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-05-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-01,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-03,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-04,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-07,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-08,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-09,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
2021-06-10,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,PARASPETRO,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,,769.069,-0.01,0.0
